1	LAX	Los Angeles	CA	357.44	357.44
2	ORD	Chicago-O'Hare	IL	314.45	314.45
3	DEN	Denver	CO	309.67	309.67
4	SFO	San Francisco	CA	403.39	403.39
5	ATL	Atlanta	GA	350.74	350.74
6	BOS	Boston	MA	350.67	350.67
7	SEA	Seattle	WA	335.11	335.11
8	DFW	Dallas-DFW	TX	347.81	347.81
9	LGA	New York-La Guardia	NY	330.94	330.94
10	JFK	New York-JFK	NY	388.65	388.65
11	EWR	Newark	NJ	427.75	427.75
12	PHX	Phoenix	AZ	333.80	333.80
13	PHL	Philadelphia	PA	362.69	362.69
14	LAS	Las Vegas	NV	231.00	231.00
15	MSP	Minneapolis	MN	381.52	381.52
16	MCO	Orlando	FL	257.88	257.88
17	DCA	Washington-Reagan National	DC	338.94	338.94
18	BWI	Baltimore	MD	315.15	315.15
19	DTW	Detroit	MI	373.47	373.47
20	SAN	San Diego	CA	358.61	358.61
21	FLL	Fort Lauderdale	FL	238.77	238.77
22	IAH	Houston-Intercontinental	TX	426.26	426.26
23	PDX	Portland	OR	329.79	329.79
24	TPA	Tampa	FL	309.92	309.92
25	MDW	Chicago-Midway	IL	281.53	281.53
26	OAK	Oakland	CA	313.99	313.99
27	CLT	Charlotte	NC	411.15	411.15
28	SLC	Salt Lake City	UT	373.48	373.48
29	AUS	Austin	TX	373.19	373.19
30	STL	St. Louis	MO	367.33	367.33
31	DAL	Dallas-Love Field	TX	279.59	279.59
32	MCI	Kansas City	MO	356.04	356.04
33	SMF	Sacramento	CA	372.70	372.70
34	MIA	Miami	FL	299.68	299.68
35	RDU	Raleigh/Durham	NC	354.85	354.85
36	SJC	San Jose	CA	326.92	326.92
37	SNA	Santa Ana	CA	362.48	362.48
38	BNA	Nashville	TN	363.95	363.95
39	IAD	Washington-Dulles	DC	429.48	429.48
40	HNL	Honolulu	HI	394.63	394.63
41	HOU	Houston-Hobby	TX	342.90	342.90
42	IND	Indianapolis	IN	350.68	350.68
43	CLE	Cleveland	OH	335.54	335.54
44	PIT	Pittsburgh	PA	380.17	380.17
45	MSY	New Orleans	LA	325.79	325.79
46	MKE	Milwaukee	WI	329.39	329.39
47	CMH	Columbus	OH	366.62	366.62
48	BDL	Hartford	CT	390.98	390.98
49	SAT	San Antonio	TX	386.15	386.15
50	SJU	San Juan	PR	279.82	279.82
51	CVG	Cincinnati	OH	377.67	377.67
52	RSW	Fort Myers	FL	307.35	307.35
53	BUF	Buffalo	NY	310.05	310.05
54	PBI	West Palm Beach/Palm Beach	FL	309.23	309.23
